"Name","RA_Hours","Dec_Degrees","pm_ra","pm_dec","Visual Magnitude"
"NGC 1982 (Messier 43 - De Mairan's Nebula - EN - Messier M43)","5.592000","-5.268000","0","0","9.0"
"NGC 1999 (Keyhole Reflection Nebula - RN - NGC 1999)","5.605000","-6.745000","0","0","9.5"
"NGC 2022 (Planetary Nebula - PN - NGC 2022)","5.701720","9.086274","-0.2","-1.6","11.6"
"NGC 2023 (Reflection Nebula - RN - NGC 2023)","5.692000","-2.251000","0","0"
"NGC 2024 (Flame Nebula - EN - NGC 2024)","5.698000","-1.865000","0","0"
"NGC 2068 (Messier 78 - RN - Messier M78)","5.778000","0.012000","0","0","8.3"
"NGC 2070 (Tarantula Nebula - EN - Caldwell C103)","5.645000","-69.100000","0","0","4.0"
"NGC 2071 (Reflection Nebula - RN - NGC 2071)","5.785000","0.291000","0","0","8.0"
"NGC 2099 (Messier 37 - OC - Messier M37)","5.872000","32.551000","0","0","6.2"
"NGC 2112 (Open Cluster - OC - NGC 2112)","5.896528","0.405000","-2.7","4.3","9.1"
"NGC 2126 (Open Cluster - OC - NGC 2126)","6.045000","49.885000","0","0"
"NGC 2129 (Open Cluster - OC - NGC 2129)","6.015000","23.315000","0","0","6.7"
"NGC 2141 (Open Cluster - OC - NGC 2141)","6.052000","10.435000","0","0","9.4"
"NGC 2158 (Open Cluster - OC - NGC 2158)","6.125000","24.101000","0","0","8.6"
"NGC 2167 (Star - HD 41753 - AS - Star - HD 41753)","6.115000","-8.815000","0","0","6.6"
"NGC 2168 (Messier 35 - OC - Messier M35)","6.148000","24.335000","0","0","5.3"
"NGC 2169 (The 37 Cluster - OC - NGC 2169)","6.141944","13.962778","-1.1","-1.7","5.9"
"NGC 2174 (Monkey Head Nebula - EN - NGC 2174)","6.162000","20.495000","0","0"
"NGC 2175 (Open Cluster - OC - NGC 2175)","6.160800","20.486700","0","0","6.8"
"NGC 2186 (Open Cluster - OC - NGC 2186)","6.201900","5.451900","0","0","8.7"
